TC,TK,Sigma,R_cup
38.4146341,311.4146341,10.4083850,0.13728
39.6341463,312.6341463,11.3578719,0.13762
42.0731707,315.0731707,12.5937621,0.13888
44.5121951,317.5121951,14.5572123,0.14048
46.9512195,319.9512195,16.3707071,0.14145
49.3902439,322.3902439,18.4224562,0.14150
53.0487805,326.0487805,21.0876905,0.14327
57.9268293,330.9268293,26.1538023,0.14560
62.8048780,335.8048780,31.7275635,0.14816
67.6829268,340.6829268,38.2654489,0.15049
72.5609756,345.5609756,46.0927027,0.15320
77.4390244,350.4390244,54.3476828,0.15527
82.3170732,355.3170732,63.1903949,0.15746
87.1951220,360.1951220,75.7323145,0.15970
92.0731707,365.0731707,86.2725723,0.16236
96.9512195,369.9512195,100.4812942,0.16438
101.8292683,374.8292683,116.9022305,0.16730
106.7073171,379.7073171,131.2617358,0.16915
111.5853659,384.5853659,150.8089380,0.17110